Region,X,Y,ImageHeight,ImageWidth
8,339.095774020449,1162.81974449358,2232,2249
8,334.479995678281,1163.43181496125,2232,2249
8,333.124437897673,1165.25467887258,2232,2249
8,333.673542898018,1170.11120013887,2232,2249
8,334.534356788437,1170.81860860531,2232,2249
8,334.717391788552,1172.43744902741,2232,2249
8,335.578205678971,1173.14485749384,2232,2249
8,335.669723179029,1173.95427770489,2232,2249
8,336.530537069448,1174.66168617133,2232,2249
8,336.622054569505,1175.47110638238,2232,2249
8,337.482868459924,1176.17851484882,2232,2249
8,337.940455960212,1180.22561590406,2232,2249
8,342.244525412306,1183.76265823625,2232,2249
8,343.013821802668,1183.66064649163,2232,2249
8,343.874635693086,1184.36805495807,2232,2249
8,343.196856802783,1185.27948691373,2232,2249
8,342.427560412421,1185.38149865834,2232,2249
8,341.749781522117,1186.29293061401,2232,2249
8,338.672595960672,1186.70097759246,2232,2249
8,337.994817070368,1187.61240954812,2232,2249
8,335.686927899284,1187.91844478196,2232,2249
8,335.00914900898,1188.82987673762,2232,2249
8,331.931963447535,1189.23792371607,2232,2249
8,331.254184557231,1190.14935567173,2232,2249
8,328.946295386147,1190.45539090557,2232,2249
9,361.253996831934,1220.67660521897,2232,2249
9,361.620066832164,1223.91428606317,2232,2249
9,362.480880722583,1224.6216945296,2232,2249
9,362.755433222755,1227.04995516275,2232,2249
9,364.477061003593,1228.46477209563,2232,2249
9,368.3235429554,1227.95471337256,2232,2249
9,369.184356845819,1228.662121839,2232,2249
9,369.95365323618,1228.56011009439,2232,2249
9,375.979350469112,1233.51196935944,2232,2249
9,376.748646859474,1233.40995761483,2232,2249
9,377.609460749892,1234.11736608127,2232,2249
9,378.378757140254,1234.01535433665,2232,2249
9,383.543640482767,1238.25980513527,2232,2249
9,384.312936873128,1238.15779339066,2232,2249
9,386.034564653966,1239.57261032353,2232,2249
9,386.126082154024,1240.38203053458,2232,2249
9,388.70852382528,1242.50425593389,2232,2249
9,389.477820215642,1242.40224418928,2232,2249
9,398.946773010249,1250.18373732008,2232,2249
9,399.038290510307,1250.99315753113,2232,2249
9,400.759918291145,1252.40797446401,2232,2249
9,401.125988291375,1255.6456553082,2232,2249
9,400.448209401071,1256.55708726386,2232,2249
9,400.814279401301,1259.79476810806,2232,2249
9,402.535907182139,1261.20958504094,2232,2249
9,402.627424682197,1262.01900525198,2232,2249
9,403.488238572615,1262.72641371842,2232,2249
9,403.579756072673,1263.53583392947,2232,2249
9,404.440569963092,1264.24324239591,2232,2249
9,404.532087463149,1265.05266260696,2232,2249
9,405.392901353568,1265.76007107339,2232,2249
9,405.575936353683,1267.37891149549,2232,2249
9,406.436750244102,1268.08631996193,2232,2249
9,406.52826774416,1268.89574017298,2232,2249
9,409.971523305835,1271.72537403872,2232,2249
9,410.15455830595,1273.34421446082,2232,2249
9,411.015372196369,1274.05162292726,2232,2249
9,411.289924696542,1276.47988356041,2232,2249
9,412.150738586961,1277.18729202684,2232,2249
9,412.882878587421,1283.66265371524,2232,2249
9,413.74369247784,1284.37006218167,2232,2249
9,413.926727477955,1285.98890260377,2232,2249
9,414.787541368374,1286.69631107021,2232,2249
9,415.977268869122,1297.21877381385,2232,2249
9,416.838082759541,1297.92618228029,2232,2249
9,417.112635259713,1300.35444291344,2232,2249
9,417.973449150132,1301.06185137987,2232,2249
9,418.156484150247,1302.68069180197,2232,2249
9,419.017298040666,1303.38810026841,2232,2249
9,419.108815540724,1304.19752047946,2232,2249
9,419.969629431143,1304.90492894589,2232,2249
9,420.0611469312,1305.71434915694,2232,2249
9,421.782774712038,1307.12916608982,2232,2249
9,421.874292212095,1307.93858630086,2232,2249
9,422.735106102514,1308.6459947673,2232,2249
9,422.826623602572,1309.45541497835,2232,2249
9,423.687437492991,1310.16282344479,2232,2249
9,423.778954993048,1310.97224365584,2232,2249
9,424.639768883467,1311.67965212227,2232,2249
9,430.794140006358,1310.86355816537,2232,2249
9,431.471918896662,1309.95212620971,2232,2249
9,430.922813896317,1305.09560494341,2232,2249
9,429.201186115479,1303.68078801054,2232,2249
9,429.018151115364,1302.06194758844,2232,2249
9,428.157337224945,1301.35453912201,2232,2249
9,428.065819724887,1300.54511891096,2232,2249
9,427.205005834468,1299.83771044452,2232,2249
9,427.113488334411,1299.02829023347,2232,2249
9,425.391860553573,1297.6134733006,2232,2249
9,425.300343053516,1296.80405308955,2232,2249
9,424.439529163097,1296.09664462311,2232,2249
9,424.348011663039,1295.28722441206,2232,2249
9,423.48719777262,1294.57981594563,2232,2249
9,423.304162772505,1292.96097552353,2232,2249
9,422.443348882086,1292.25356705709,2232,2249
9,421.162103881281,1280.9216841024,2232,2249
9,420.301289990862,1280.21427563596,2232,2249
9,419.386114990287,1272.12007352547,2232,2249
9,418.525301099868,1271.41266505903,2232,2249
9,421.236416661083,1267.76693723639,2232,2249
9,421.144899161025,1266.95751702534,2232,2249
9,423.178235831937,1264.22322115835,2232,2249
9,423.086718331879,1263.4138009473,2232,2249
9,424.442276112487,1261.59093703598,2232,2249
9,424.259241112372,1259.97209661388,2232,2249
9,424.937020002676,1259.06066465822,2232,2249
9,424.479432502388,1255.01356360297,2232,2249
9,425.157211392692,1254.10213164731,2232,2249
9,425.926507783053,1254.0001199027,2232,2249
9,426.604286673357,1253.08868794703,2232,2249
9,433.527954186609,1252.17058224552,2232,2249
9,434.388768077028,1252.87799071196,2232,2249
9,437.465953638473,1252.4699437335,2232,2249
9,438.326767528892,1253.17735219994,2232,2249
9,443.711842261422,1252.46326998765,2232,2249
9,444.57265615184,1253.17067845409,2232,2249
9,446.111248932563,1252.96665496486,2232,2249
9,446.972062822982,1253.6740634313,2232,2249
9,448.510655603705,1253.47003994207,2232,2249
9,449.371469494124,1254.17744840851,2232,2249
9,450.910062274846,1253.97342491929,2232,2249
9,451.770876165265,1254.68083338572,2232,2249
9,453.309468945988,1254.4768098965,2232,2249
9,454.170282836407,1255.18421836293,2232,2249
9,455.708875617129,1254.98019487371,2232,2249
9,456.569689507548,1255.68760334015,2232,2249
9,457.33898589791,1255.58559159553,2232,2249
9,458.199799788329,1256.29300006197,2232,2249
9,462.046281740135,1255.78294133891,2232,2249
9,462.907095630554,1256.49034980534,2232,2249
9,465.214984801638,1256.1843145715,2232,2249
9,466.075798692057,1256.89172303794,2232,2249
9,469.152984253502,1256.48367605949,2232,2249
9,470.013798143921,1257.19108452593,2232,2249
9,472.321687315005,1256.88504929209,2232,2249
9,473.182501205424,1257.59245775853,2232,2249
9,473.274018705482,1258.40187796957,2232,2249
9,474.134832595901,1259.10928643601,2232,2249
9,474.226350095958,1259.91870664706,2232,2249
9,475.087163986377,1260.6261151135,2232,2249
9,475.178681486435,1261.43553532455,2232,2249
9,475.947977876796,1261.33352357993,2232,2249
9,476.808791767215,1262.04093204637,2232,2249
9,477.266379267503,1266.08803310162,2232,2249
9,478.127193157922,1266.79544156805,2232,2249
9,482.74297150009,1266.18337110038,2232,2249
9,483.603785390508,1266.89077956681,2232,2249
9,483.878337890681,1269.31904019996,2232,2249
9,485.599965671519,1270.73385713283,2232,2249
9,490.215744013687,1270.12178666516,2232,2249
9,491.571301794295,1268.29892275383,2232,2249
9,491.388266794179,1266.68008233174,2232,2249
9,492.066045684483,1265.76865037607,2232,2249
9,491.516940684138,1260.91212910978,2232,2249
9,490.656126793719,1260.20472064334,2232,2249
9,490.473091793604,1258.58588022124,2232,2249
9,489.612277903185,1257.87847175481,2232,2249
9,489.520760403128,1257.06905154376,2232,2249
9,487.79913262229,1255.65423461088,2232,2249
9,486.260539841567,1255.85825810011,2232,2249
