Region,X,Y,ImageHeight,ImageWidth,Image_Width,Image_Height
9,25.1726172830006,234.823653067236,500,500,362.360426706671,390.544015450523
9,25.2699269016978,235.660975769268,500,500,362.360426706671,390.544015450523
9,25.4529858169723,235.807334647008,500,500,362.360426706671,390.544015450523
9,26.4345677661837,235.680700671027,500,500,362.360426706671,390.544015450523
9,26.6176266814582,235.827059548768,500,500,362.360426706671,390.544015450523
9,26.6760124526766,236.329453169988,500,500,362.360426706671,390.544015450523
9,27.0421302832259,236.622170925471,500,500,362.360426706671,390.544015450523
9,28.023712232437,236.495536949491,500,500,362.360426706671,390.544015450523
9,28.3119823680287,236.11839654335,500,500,362.360426706671,390.544015450523
9,28.2730585205495,235.783467462539,500,500,362.360426706671,390.544015450523
9,28.4171935883457,235.594897259468,500,500,362.360426706671,390.544015450523
9,28.3004220459091,234.590110017032,500,500,362.360426706671,390.544015450523
9,28.1173631306343,234.44375113929,500,500,362.360426706671,390.544015450523
9,28.0784392831555,234.108822058477,500,500,362.360426706671,390.544015450523
9,27.8953803678807,233.962463180735,500,500,362.360426706671,390.544015450523
9,27.8759184441414,233.79499864033,500,500,362.360426706671,390.544015450523
9,27.5098006135921,233.502280884844,500,500,362.360426706671,390.544015450523
9,27.1826066305216,233.544492210172,500,500,362.360426706671,390.544015450523
9,26.9995477152468,233.398133332429,500,500,362.360426706671,390.544015450523
9,26.5087567406413,233.46145032042,500,500,362.360426706671,390.544015450523
9,25.7765210795428,232.876014809449,500,500,362.360426706671,390.544015450523
9,25.7570591558035,232.708550269046,500,500,362.360426706671,390.544015450523
9,25.5740002405287,232.562191391302,500,500,362.360426706671,390.544015450523
9,25.5545383167892,232.394726850897,500,500,362.360426706671,390.544015450523
9,25.3714794015144,232.248367973153,500,500,362.360426706671,390.544015450523
9,25.2078824099794,232.269473635818,500,500,362.360426706671,390.544015450523
9,25.0248234947046,232.123114758076,500,500,362.360426706671,390.544015450523
9,24.6976295116341,232.165326083402,500,500,362.360426706671,390.544015450523
9,24.5145705963597,232.018967205661,500,500,362.360426706671,390.544015450523
9,23.6965856386837,232.124495518978,500,500,362.360426706671,390.544015450523
9,23.5135267234089,231.978136641235,500,500,362.360426706671,390.544015450523
9,23.0227357488033,232.041453629227,500,500,362.360426706671,390.544015450523
9,22.8396768335289,231.895094751486,500,500,362.360426706671,390.544015450523
9,22.348885858923,231.958411739475,500,500,362.360426706671,390.544015450523
9,22.1658269436486,231.812052861734,500,500,362.360426706671,390.544015450523
9,21.8386329605781,231.85426418706,500,500,362.360426706671,390.544015450523
9,21.6555740453033,231.707905309319,500,500,362.360426706671,390.544015450523
9,21.3283800622328,231.750116634645,500,500,362.360426706671,390.544015450523
9,21.145321146958,231.603757756903,500,500,362.360426706671,390.544015450523
9,20.8181271638879,231.645969082231,500,500,362.360426706671,390.544015450523
9,20.6350682486131,231.499610204488,500,500,362.360426706671,390.544015450523
9,20.3078742655426,231.541821529816,500,500,362.360426706671,390.544015450523
9,20.1248153502681,231.395462652073,500,500,362.360426706671,390.544015450523
9,19.9612183587327,231.416568314736,500,500,362.360426706671,390.544015450523
9,19.7781594434583,231.270209436995,500,500,362.360426706671,390.544015450523
9,19.4509654603878,231.312420762321,500,500,362.360426706671,390.544015450523
9,19.267906545113,231.16606188458,500,500,362.360426706671,390.544015450523
9,18.2863245959019,231.292695860561,500,500,362.360426706671,390.544015450523
9,18.1032656806271,231.14633698282,500,500,362.360426706671,390.544015450523
9,17.4488777144861,231.230759633475,500,500,362.360426706671,390.544015450523
9,17.2658187992118,231.084400755732,500,500,362.360426706671,390.544015450523
9,16.7750278246062,231.147717743724,500,500,362.360426706671,390.544015450523
9,16.5919689093314,231.00135886598,500,500,362.360426706671,390.544015450523
9,13.8108200532328,231.360155131264,500,500,362.360426706671,390.544015450523
9,13.4447022226836,231.067437375778,500,500,362.360426706671,390.544015450523
9,13.4252402989438,230.899972835373,500,500,362.360426706671,390.544015450523
9,13.0591224683946,230.607255079887,500,500,362.360426706671,390.544015450523
9,13.0201986209159,230.272325999075,500,500,362.360426706671,390.544015450523
9,13.1643336887116,230.083755796005,500,500,362.360426706671,390.544015450523
9,13.0670240700143,229.246433093976,500,500,362.360426706671,390.544015450523
9,13.21115913781,229.057862890905,500,500,362.360426706671,390.544015450523
9,13.1527733665919,228.555469269688,500,500,362.360426706671,390.544015450523
9,13.2969084343875,228.366899066617,500,500,362.360426706671,390.544015450523
9,13.2385226631694,227.8645054454,500,500,362.360426706671,390.544015450523
9,13.3826577309651,227.675935242329,500,500,362.360426706671,390.544015450523
9,13.324271959747,227.173541621112,500,500,362.360426706671,390.544015450523
9,13.4684070275427,226.984971418041,500,500,362.360426706671,390.544015450523
9,13.429483180064,226.65004233723,500,500,362.360426706671,390.544015450523
9,13.5736182478597,226.461472134159,500,500,362.360426706671,390.544015450523
9,13.5346944003805,226.126543053347,500,500,362.360426706671,390.544015450523
9,13.6788294681762,225.937972850277,500,500,362.360426706671,390.544015450523
9,13.6204436969581,225.435579229058,500,500,362.360426706671,390.544015450523
