Region,X,Y
5,58,1279
5,59,1280
5,59,1281
5,60,1282
5,60,1283
5,61,1284
5,56,1289
5,55,1289
5,47,1297
5,46,1297
5,43,1300
5,42,1300
5,39,1303
5,38,1303
5,33,1308
5,32,1308
5,29,1311
5,29,1312
6,29,746
6,29,772
6,30,773
6,30,778
6,31,779
6,31,784
6,32,785
6,32,789
6,33,790
6,33,794
6,34,795
6,34,796
6,36,798
6,36,799
6,37,800
6,37,801
6,38,802
6,38,803
6,39,804
6,39,805
6,41,807
6,42,807
6,43,808
6,46,808
6,47,809
6,47,814
6,48,815
6,48,818
6,49,819
6,49,822
6,50,823
6,50,828
6,51,829
6,51,834
6,52,835
6,52,847
6,53,848
6,53,856
6,54,857
6,54,862
6,55,863
6,55,873
6,56,874
6,56,882
6,57,883
6,57,885
6,61,885
6,61,874
6,60,873
6,60,870
6,59,869
6,59,859
6,58,858
6,58,853
6,57,852
6,57,844
6,56,843
6,56,831
6,55,830
6,55,825
6,54,824
6,54,819
6,53,818
6,53,815
6,52,814
6,52,805
6,48,805
6,47,804
6,47,803
6,46,803
6,43,800
6,43,799
6,42,798
6,42,797
6,41,796
6,41,795
6,39,793
6,39,792
6,38,791
6,38,790
6,37,789
6,37,785
6,36,784
6,36,780
6,35,779
6,35,775
6,34,774
6,34,769
6,33,768
6,33,750
6,34,749
6,34,743
6,35,742
6,35,737
6,36,736
6,36,731
6,37,730
6,37,727
6,38,726
6,38,725
6,39,724
6,39,722
6,40,721
6,40,719
6,41,718
6,41,714
6,42,713
6,42,710
6,43,709
6,43,708
6,44,707
6,44,705
6,45,704
6,45,702
6,46,701
6,46,700
6,47,699
6,47,697
6,48,696
6,48,693
6,49,692
6,49,691
6,54,686
6,54,685
6,55,684
6,55,682
6,56,681
6,56,678
6,58,676
6,61,676
6,64,673
6,64,671
6,65,670
6,65,666
6,66,665
6,66,660
6,67,659
6,67,657
6,68,656
6,68,655
6,69,654
6,69,653
6,70,652
6,70,651
6,72,649
6,72,648
6,73,647
6,73,642
6,74,641
6,74,640
6,75,639
6,75,638
6,78,635
6,78,634
6,80,632
6,80,631
6,82,629
6,82,627
6,83,626
6,83,624
6,84,623
6,84,622
6,85,621
6,85,620
6,86,619
6,86,617
6,87,616
6,87,615
6,88,614
6,88,612
6,89,611
6,89,610
6,90,609
6,90,608
6,91,607
6,91,604
6,92,603
6,92,602
6,93,601
6,93,600
6,94,599
6,94,598
6,95,597
6,95,596
6,96,595
6,96,591
6,92,591
6,90,593
6,90,594
6,89,595
6,89,596
6,88,597
6,88,599
6,87,600
6,87,602
6,86,603
6,86,605
6,85,606
6,85,607
6,84,608
6,84,609
6,83,610
6,83,612
6,82,613
6,82,614
6,81,615
6,81,616
6,80,617
6,80,619
6,79,620
6,79,622
6,78,623
6,78,624
6,77,625
6,77,626
6,75,628
6,75,629
6,72,632
6,72,633
6,70,635
6,70,637
6,69,638
6,69,642
6,68,643
6,68,644
6,67,645
6,67,646
6,65,648
6,65,649
6,64,650
6,64,651
