Region,X,Y,ImageHeight,ImageWidth
9,22.5182137042862,296.669953555855,500,500
9,22.7170972704438,296.428533644641,500,500
9,22.636534153013,295.785336461556,500,500
9,22.8354177191707,295.543916550341,500,500
9,22.7548546017399,294.900719367256,500,500
9,22.9537381678976,294.659299456041,500,500
9,22.9000294229437,294.230501333985,500,500
9,23.0989129891014,293.98908142277,500,500
9,23.0452042441469,293.560283300712,500,500
9,23.2440878103046,293.318863389499,500,500
9,23.1635246928738,292.675666206412,500,500
9,23.3624082590315,292.434246295199,500,500
9,23.2818451416006,291.791049112112,500,500
9,23.4807287077583,291.549629200899,500,500
9,23.4001655903275,290.906432017812,500,500
9,23.5990491564852,290.665012106599,500,500
9,23.5453404115313,290.236213984541,500,500
9,23.7442239776889,289.994794073329,500,500
9,23.6905152327351,289.56599595127,500,500
9,23.8893987988922,289.324576040057,500,500
9,23.8356900539383,288.895777917999,500,500
9,24.034573620096,288.654358006787,500,500
9,23.9808648751421,288.225559884729,500,500
9,24.1797484412998,287.984139973516,500,500
9,24.1260396963459,287.555341851458,500,500
9,24.3249232625036,287.313921940245,500,500
9,24.2443601450728,286.670724757158,500,500
9,24.4432437112304,286.429304845945,500,500
9,24.3895349662765,286.000506723887,500,500
9,24.5884185324342,285.759086812674,500,500
9,24.5347097874798,285.330288690616,500,500
9,24.733593353638,285.088868779404,500,500
9,24.6798846086836,284.660070657345,500,500
9,24.8787681748418,284.418650746133,500,500
9,24.8250594298874,283.989852624075,500,500
9,25.0239429960456,283.748432712862,500,500
9,24.9433798786142,283.105235529775,500,500
9,25.1422634447719,282.863815618562,500,500
9,25.0079915823866,281.791820313417,500,500
9,24.7553992712751,281.604442102571,500,500
9,24.7016905263206,281.175643980516,500,500
9,24.4490982152091,280.98826576967,500,500
9,23.3204085220349,281.12337002059,500,500
9,22.7237578235614,281.847629754231,500,500
9,22.7774665685152,282.276427876289,500,500
9,22.5785830023576,282.517847787502,500,500
9,22.659146119789,283.161044970589,500,500
9,22.4602625536307,283.402464881802,500,500
9,22.5139712985852,283.83126300386,500,500
9,22.3150877324269,284.072682915073,500,500
9,22.3687964773814,284.501481037131,500,500
9,22.1699129112237,284.742900948343,500,500
9,22.2236216561776,285.171699070401,500,500
9,22.0247380900199,285.413118981614,500,500
9,22.0515924624968,285.627518042643,500,500
9,21.8527088963392,285.868937953856,500,500
9,21.906417641293,286.297736075914,500,500
9,21.7075340751354,286.539155987127,500,500
9,21.7880971925662,287.182353170214,500,500
9,21.5892136264085,287.423773081427,500,500
9,21.6429223713624,287.852571203485,500,500
9,21.4440388052047,288.093991114697,500,500
9,21.4708931776822,288.308390175726,500,500
9,21.272009611524,288.549810086939,500,500
9,21.3257183564779,288.978608208997,500,500
9,21.1268347903202,289.220028120213,500,500
9,21.1805435352741,289.648826242268,500,500
9,20.9816599691164,289.890246153484,500,500
9,21.0353687140703,290.319044275539,500,500
9,20.8364851479132,290.560464186754,500,500
9,20.890193892867,290.98926230881,500,500
9,20.6913103267094,291.230682220025,500,500
9,20.7718734441402,291.873879403112,500,500
9,20.5729898779825,292.115299314325,500,500
9,20.6266986229364,292.544097436383,500,500
9,20.4278150567787,292.785517347596,500,500
9,20.4815238017326,293.214315469654,500,500
9,20.2826402355749,293.455735380867,500,500
9,20.3632033530063,294.098932563954,500,500
9,20.1643197868481,294.340352475167,500,500
9,20.2448829042794,294.983549658254,500,500
9,20.0459993381218,295.224969569467,500,500
9,20.0997080830757,295.653767691525,500,500
9,19.900824516918,295.895187602737,500,500
9,19.9276788893949,296.109586663766,500,500
9,19.7287953232373,296.351006574979,500,500
9,19.7825040681911,296.779804697037,500,500
9,19.5836205020335,297.02122460825,500,500
9,19.6104748745104,297.235623669279,500,500
9,19.4115913083527,297.477043580492,500,500
9,19.4384456808297,297.691442641521,500,500
9,19.239562114672,297.932862552733,500,500
9,19.2664164871489,298.147261613762,500,500
9,18.868649354833,298.63010143619,500,500
9,18.6429114161984,298.657122286374,500,500
9,18.4440278500402,298.898542197586,500,500
9,18.1914355389287,298.711163986741,500,500
